회원번호,아이디,비밀번호,이름,주민등록번호,전화번호,등급,대여권수제한,대여금지일
IDS00037,owp1dneg9a5scb,vP&q^FE$Iwu2a,김혁아,050428-4907977,010-7073-7321,씨앗,0,0
IDS00038,smn_f3179,0u!G5nvRc2,정우훈,090217-3843228,010-2560-8438,씨앗,0,0
IDS00039,lhrmdw,$1eBdL7!DT,조슬예,980403-1219176,010-7675-1344,숲,0,0
IDS00040,n4s23h4_zg,lS*LFsV8wnXKv##*,정경하,010415-3665551,010-4665-7471,나무,0,0
IDS00041,gzkt_w,M@X67T&H4K#t,장현민,610812-2444948,010-5838-3031,숲,0,0
IDS00042,wg21xu42i,%U11!*9ooJ1eTE,최혁민,960404-2516903,010-0898-4532,새싹,0,0
IDS00043,x8bxu,%5@BaWbBBys@s,임보솔,861207-1016126,010-4511-7911,숲,0,0
IDS00044,avvm4ixg5a327is1,5uKi8Tv%nO&E,박현도,890214-2773293,010-6322-8976,씨앗,0,0
IDS00045,va5lfq_fm2_p,SwQQf8*R4Mdbe,강현지,010106-4014720,010-1308-0198,숲,0,0
IDS00046,pue00jg5qoxzr,@xi5yF7e4cQnC,윤아예,760215-2947962,010-1665-0879,씨앗,0,0
IDS00047,w5dhu0x,v6yL7a#iRQ,최수민,940823-1967503,010-4975-8438,숲,0,0
IDS00048,hty5c5w2c1_4c2,2ze!uxyu99R,김아태,660414-1617842,010-1820-9405,새싹,0,0
IDS00049,rbhm8rj8umu7du,WEf&Xo0@RWPl9ku,박태아,691218-2304465,010-0424-6638,나무,0,0
IDS00050,n8l0,Ad!sLI4Z%wAld7t%,박태우,690302-2583891,010-5421-5274,나무,0,0
